Source:,/home/markd/Documents/Solar/charger/charger.sch,,,,,,
Date:,Thu 29 Oct 2020 11:03:08 PM CDT,,,,,,
Tool:,Eeschema 5.1.5-1.fc30,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,100,,,,,,
,,,,,,,
Individual Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,,Datasheet
,,C1,1 uF,Device:C_Small,Capacitor_SMD:C_1206_3216Metric,,~
,,C2,1 uF,Device:C_Small,Capacitor_SMD:C_1206_3216Metric,,~
,,C3,0.1 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C4,1200 uF,Device:CP,Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn,,https://www.mouser.com/ProductDetail/Nichicon/LLS2A122MELA?qs=CTiUoleKpMElkeBijh%2FajQ%3D%3D
,,C5,1200 uF,Device:CP,Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn,,https://www.mouser.com/ProductDetail/Nichicon/LLS2A122MELA?qs=CTiUoleKpMElkeBijh%2FajQ%3D%3D
,,C6,4.7 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C7,4.7 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C8,0.1 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C9,4.7 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C10,4.7 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C11,4.7 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C12,560 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C13,560 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C14,220 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C15,220 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C16,1 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C17,1 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C18,0.1 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C19,0.1 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C20,0.1 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C21,0.1 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C22,0.1 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C23,1000 pF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C24,1000 pF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C25,1000 uF,Device:CP,Capacitor_THT:CP_Radial_D30.0mm_P10.00mm_SnapIn,,https://www.mouser.com/ProductDetail/Cornell-Dubilier-CDE/SLPX102M100A3P3?qs=5mhQgkvyHZCZ2uZBF7Bs%2FA%3D%3D
,,C26,10 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C27,0.1 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C28,10 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C29,0.1 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C30,1 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C31,1 uF,Device:CP,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,,https://www.mouser.com/ProductDetail/United-Chemi-Con/ELE-101ELL1R0ME11D?qs=sGAEpiMZZMsh%252B1woXyUXj4%252Bf9ki7jDby49t5xL6J1co%3D
,,C32,1 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C33,22 nF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C34,0.1 uF,Device:C_Small,Capacitor_SMD:C_1206_3216Metric,,~
,,C35,10 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,,~
,,C36,10 uF,Device:CP,Capacitor_THT:CP_Radial_D6.3mm_P2.50mm,,https://www.mouser.com/ProductDetail/United-Chemi-Con/ELE-101ELL100MF11D?qs=sGAEpiMZZMsh%252B1woXyUXj4%252Bf9ki7jDbylQfEaT1r8GY%3D
,,D1,MUHA11013G,Device:D,Diode_SMD:D_SMA,,https://www.digikey.com/en/products/detail/on-semiconductor/mura110t3g/919928
,,D2,MUHA11013G,Device:D,Diode_SMD:D_SMA,,https://www.digikey.com/en/products/detail/on-semiconductor/mura110t3g/919928
,,D3,B1100-13,Device:D_Schottky,Diode_SMD:D_SMA,,https://www.digikey.com/en/products/detail/diodes-incorporated/b1100q-13-f/6110468
,,D4,B1100-13,Device:D_Schottky,Diode_SMD:D_SMA,,https://www.digikey.com/en/products/detail/diodes-incorporated/b1100q-13-f/6110468
,,D5,D_Zener,Device:D_Zener,Diode_SMD:D_SMA,,https://www.mccsemi.com/pdf/Products/SMBJ5338B-SMBJ5388B(SMB).pdf
,,D6,B1100B,Device:D_Schottky,Diode_SMD:D_SMB,,https://www.digikey.com/en/products/detail/diodes-incorporated/B1100B-13-F/768766
,,FB1,74279201,Device:Ferrite_Bead_Small,Inductor_SMD:L_0805_2012Metric,,https://www.mouser.com/datasheet/2/445/74279201-1720615.pdf
,,FB2,74279201,Device:Ferrite_Bead_Small,Inductor_SMD:L_0805_2012Metric,,https://www.mouser.com/datasheet/2/445/74279201-1720615.pdf
,,J1,OSTT7020150,Connector:Screw_Terminal_01x06,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1725698?qs=sGAEpiMZZMvPvGwLNS67143eXz6yLKIOycfUSa3x6pY%3D
,,J2,Conn_01x06,Connector_Generic:Conn_01x06,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,,~
,,J3,Conn_01x06,Connector_Generic:Conn_01x06,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,,~
,,J4,Conn_01x03,Connector_Generic:Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,~
,,J5,OSTT7020150,Connector:Screw_Terminal_01x02,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1725656?qs=sGAEpiMZZMvPvGwLNS67143eXz6yLKIOCsITGMn0Nro%3D
,,L1,7443642200,Device:L,MWD_Footprints:7443642200 _Inductor,,https://www.mouser.com/datasheet/2/445/7443642200-1721886.pdf
,,L2,7443642200,Device:L,MWD_Footprints:7443642200 _Inductor,,https://www.mouser.com/datasheet/2/445/7443642200-1721886.pdf
,,L3,220 uH,Device:L,Inductor_SMD:L_Bourns_SRR1260,,https://www.mouser.com/ProductDetail/Bourns/SRR1260-221K?qs=sGAEpiMZZMv126LJFLh8y2g1MQW3KQGurY%2FzTCT0qxM%3D
